market_type,market_label,security_code,symbol,company_name,quality_tier_l1_l5,primary_strategy_tag,strategy_family,valuation_tier,valuation_reason,current_price,quote_pe_or_pe_ttm,suggested_position_range_pct,max_single_name_pct,allocation_priority,current_action,buy_or_add_triggers,reduce_or_exit_conditions,key_metrics_to_track,source_urls,price_source,analysis_reviewed_at_utc
A_SHARE,A股,600519,600519.SH,贵州茅台 / Kweichow Moutai,L1-核心候选,A-DCF长期现金流,A-DCF/现金流复利型,较低估,PE约19.5，ROE约32.5%、净利率约50.5%、现金流和品牌护城河极强；但2026Q1收入/利润同比转负，行业长期低增，按低速FCF和分红看只到较低估，不到深度低估。 现金流复利估值：看FCF收益率、分红回购、ROE和低速增长。,1291.91,19.52,4%-7%,10%,防守配置,防守配置,收入和利润恢复稳定增长；经营现金流强于利润；批价和库存稳定；直销占比改善；股东回报提高。,批价持续下行；渠道库存恶化；高端白酒需求结构性下滑；治理或价格体系失控；估值再次明显透支。,飞天批价；渠道库存；直销收入；营收和净利增速；经营现金流；分红率；合同负债。,data/interim/a_share_financial_indicators.csv|https://www.moutaichina.com/mtgf/tzzgx/index.html|https://qt.gtimg.cn/q=sh600519,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
A_SHARE,A股,603605,603605.SH,珀莱雅 / Proya,L3-战术候选,C-GARP消费成长,C-GARP成长型,中性,品牌运营能力较强，但消费品竞争和估值不支持重仓。,67.20,18.05,2%-4%,5%,消费观察,消费复苏观察,主品牌增长恢复；彩棠等品牌继续放量；毛利率和费用率稳定；经营现金流健康；库存和渠道未恶化。,品牌老化；新品失败；营销费用率持续抬升但收入不增长；存货和应收恶化；国际或国产竞品抢份额。,分品牌收入；毛利率；销售费用率；经营现金流；库存；线上渠道表现；新品复购。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sh603605,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
A_SHARE,A股,000100,000100.SZ,TCL科技 / TCL Technology,L3-战术候选,F-周期成长/面板双龙头,F-垄断资源/周期资源型,较低估,面板双龙头和折旧峰值后利润释放提供周期修复，但仍按周期股而非复利核心处理。,4.55,18.70,2%-4%,5%,周期修复小仓,周期修复仓,净利率从低位持续恢复；经营现金流强；资本开支纪律改善；OLED/Mini LED/车载等高端产品占比提升；回购推进。,行业重新无序扩产；面板价格下行；折旧释放不转化为利润；资产负债率继续上升；回购停止或资本开支失控。,LCD/OLED价格；稼动率；折旧费用；资本开支；净利率；经营现金流；资产负债率；回购进度。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sz000100,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
A_SHARE,A股,000725,000725.SZ,京东方A / BOE,L3-战术候选,F-周期成长/面板双龙头,F-垄断资源/周期资源型,中性,BOE具备面板规模和玻璃基板期权，但周期属性和项目验证不足，仓位应低于TCL。,5.57,34.68,1%-3%,5%,周期/期权小仓,低于TCL的周期修复仓,净利率和ROE连续改善；折旧压力下降；高端显示和车载/IT面板占比提升；经营现金流稳定；回购注销执行。,玻璃基板停留在概念；面板供给再次过剩；利润率无法改善；资本开支重新扩张；回购不及预期。,面板价格；稼动率；折旧费用；玻璃基板合作进展；回购注销；净利率；ROE；经营现金流。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sz000725,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
A_SHARE,A股,300896,300896.SZ,爱美客 / Imeik,L3-战术候选,E-落难白马/医美高壁垒,E-落难白马型,中性,医美壁垒较高但业绩未止跌，等待收入利润拐点。,94.27,24.90,1%-3%,4%,观察,等待收入利润止跌,核心产品恢复增长；毛利率维持高位；经营现金流跟随利润；新品管线落地；医美终端需求回暖。,核心产品增长长期停滞；监管收紧；竞品冲击价格体系；渠道库存恶化；高毛利无法维持。,分产品收入；毛利率；净利率；经营现金流；新品注册；渠道库存；医美监管政策。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sz300896,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
HK,港股,01024,01024.HK,快手 / Kuaishou,L1-核心候选,C-GARP平台型低估/D-AI应用期权,C-GARP成长型,低估,快手主营短视频、广告、电商平台已盈利，当前PE低；可灵提供AI视频期权，但配置理由仍以主营低估和回购/利润率为主。,45.88,9.65,5%-8%,10%,准核心/港股互联网主仓,港股互联网优先配置候选,用户时长稳定；电商GMV和广告收入增长；经营利润率提升；可灵商业化数据披露；回购提升每股价值。,抖音竞争导致用户和广告下滑；电商增长失速；监管收紧；可灵商业化失败且AI投入压制利润；估值修复后缺乏增长。,DAU/MAU；用户时长；广告收入；电商GMV；经营利润率；自由现金流；回购；可灵付费和收入指标。,data/interim/hong_kong_financial_indicators.csv|https://qt.gtimg.cn/q=hk01024|https://kling.ai/app/,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
A_SHARE,A股,601899,601899.SH,紫金矿业 / Zijin Mining,L1-核心候选,F-关键资源垄断/全球矿业龙头,F-垄断资源/周期资源型,中性,PE约12.5、利润同比约61.5%，资源禀赋和成本优势强；但铜金处高景气、股价接近52周高位，需按中枢价格看，暂不判定低估。 资源股估值：按中枢商品价格和正常化利润，不把单年高景气永久化。,29.09,12.54,4%-7%,10%,资源核心候选,资源核心候选,铜金产量增长；吨/克成本保持行业低位；经营现金流强；资本开支纪律好；资源储量继续扩张。,商品价格处极端高位且供给扩张；高价并购；成本上升；资源国政治风险扩大；现金流和分红恶化。,铜产量；金产量；单位成本；储量；资本开支；经营现金流；净负债；金铜价格分位。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sh601899,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
A_SHARE,A股,000333,000333.SZ,美的集团 / Midea,L1-核心候选,A-DCF现金流/GARP制造龙头,A-DCF/现金流复利型,低估,PE约14.3，2026Q1收入/利润同比约12%/14%，ROE约19.7%，现金流和分红回购质量高；以现金流复利型龙头看，当前估值低于其质量。 现金流复利估值：看FCF收益率、分红回购、ROE和低速增长。,83.23,14.34,6%-10%,12%,核心配置候选,核心配置候选,收入和利润双位数或高个位数增长；毛利率稳定；经营现金流强；机器人/楼宇科技/新能源部件等ToB业务改善；股东回报提升。,白电价格战；海外需求下滑；ToB转型低效；库存恶化；管理层资本配置变差。,收入增速；净利率；经营现金流；分红回购；海外收入；ToB业务收入和利润；库存周转。,data/interim/a_share_financial_indicators.csv|https://www.midea.com.cn/en/Investors?wcmmode=disabled|https://qt.gtimg.cn/q=sz000333,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
A_SHARE,A股,688008,688008.SH,澜起科技 / Montage Technology,L1-核心候选,D-产业链爆发/AI服务器瓶颈环节,D-产业链爆发型,较高估,PE约107、PB约13，收入/利润同比约49.9%/58.4%，DDR5/AI服务器逻辑强；但当前价格已提前反映较多成长，需未来三年持续上修才能消化。 产业链瓶颈估值：看需求票、瓶颈票、利润票和2-3年正常化利润。,224.88,107.46,0%-2%,3%,仅小仓跟踪强趋势,仅小仓跟踪强趋势,收入和净利继续高增；毛利率维持高位；研发转化为新品；客户验证扩大；经营现金流跟随利润。,AI服务器需求低于预期；DDR升级节奏放缓；竞争加剧；客户集中风险暴露；估值显著透支。,内存接口芯片收入；服务器平台芯片收入；毛利率；研发费用率；客户验证；AI服务器资本开支；经营现金流。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sh688008,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
A_SHARE,A股,603259,603259.SH,药明康德 / WuXi AppTec,L2-准核心候选,E-落难白马/CRDMO平台,E-落难白马型,较低估,PE约14.8，收入同比约15.8%、利润同比高增且现金流强；地缘政策折价真实存在，因此只给较低估而非深度低估。 GARP估值：看可防守增长、现金流转化和2-3年PEG。,99.71,14.78,3%-5%,7%,政策风险可接受时配置,政策风险可接受时配置,收入增长稳定；经营现金流强；客户留存和新签订单恢复；毛利率稳定；资本开支回报改善。,美国或其他市场限制升级；大客户迁移；订单下滑；利润含一次性项目不可持续；管理层资本配置恶化。,新增订单；在手订单；海外收入；毛利率；经营现金流；资本开支；监管法案进展；剔除一次性因素利润。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sh603259,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
HK,港股,00700,00700.HK,腾讯控股 / Tencent,L1-核心候选,A-平台现金流/AI与游戏复利,A-DCF/现金流复利型,较低估,微信生态、游戏、广告、支付和回购构成高质量现金流；当前估值不极端便宜，但风险收益在港股互联网中最稳健。,463.60,16.96,8%-12%,15%,核心主仓,最高优先级核心候选,游戏流水和递延收入改善；视频号广告增长；经营利润率稳定；自由现金流强；回购持续减少股本。,监管收紧；游戏增长停滞；广告景气下行；AI投入压缩利润；回购减少且估值透支。,游戏收入；广告收入；视频号商业化；金融科技收入；经营利润率；FCF；回购金额；AI产品进展。,data/interim/hong_kong_financial_indicators.csv|https://www.tencent.com/en-us/investors/financial-reports.html|https://qt.gtimg.cn/q=hk00700,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
A_SHARE,A股,300750,300750.SZ,宁德时代 / CATL,L1-核心候选,C-GARP成长/全球电池龙头,C-GARP成长型,较低估,PE约23.1，2026Q1利润同比约42.3%，ROE约24.9%、经营现金流强；动力+储能龙头仍有瓶颈价值，但价格战和海外风险限制其进入深度低估。 产业链瓶颈估值：看需求票、瓶颈票、利润票和2-3年正常化利润。,394.85,23.13,5%-9%,12%,核心候选但等利润率确认,核心候选但等利润率确认,收入和利润继续增长；毛利率稳定；经营现金流强；海外客户拓展；储能业务放量；新技术量产验证。,价格战显著压缩利润；技术路线被替代；海外限制升级；客户自供比例大幅提升；资本开支回报下降。,动力电池装机份额；储能出货；毛利率；经营现金流；研发费用；海外收入；新技术量产。,data/interim/a_share_financial_indicators.csv|https://www.catl.com/en/investor/financials/|https://qt.gtimg.cn/q=sz300750,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
A_SHARE,A股,688271,688271.SH,联影医疗 / United Imaging,L2-准核心候选,C-GARP成长/高端医疗设备国产替代,C-GARP成长型,中性,PE约49.5，收入/利润同比约34.0%/48.1%，高端影像国产替代恢复明显；但大型设备采购周期和现金流弹性使当前估值仅合理。 GARP估值：看可防守增长、现金流转化和2-3年PEG。,114.02,49.51,0%-2%,3%,等待估值消化,等待估值消化,分产品收入增长；毛利率稳定；研发管线落地；海外收入提升；经营现金流改善。,医院采购再次放缓；高端产品竞争不及预期；毛利率下滑；研发投入无法转化；估值透支增长。,CT/MR/PET收入；新增订单；海外收入；毛利率；研发费用率；经营现金流；设备招采政策。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sh688271,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
A_SHARE,A股,600089,600089.SH,特变电工 / TBEA,L3-战术候选,F-电网设备/资源周期复合,F-垄断资源/周期资源型,中性,输变电壁垒明确，但多晶硅和资源业务带来周期拖累，不适合作为纯复利核心。,23.03,18.86,1%-3%,4%,战术观察,战术观察,输变电订单增长；毛利率稳定；经营现金流改善；多晶硅亏损收窄或出清；分红和资本开支纪律改善。,多晶硅价格继续下行拖累；电网订单不及预期；资产负债率上升；资本开支失控；资源周期利润回落。,输变电订单；特高压项目；多晶硅价格和产能；煤炭业务利润；经营现金流；资产负债率；分红。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sh600089,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
