market_type,market_label,security_code,symbol,company_name,primary_strategy_tag,watch_layer,evidence_level,current_action,one_sentence_thesis,buy_triggers,add_conditions,reduce_or_exit_conditions,key_metrics_to_track,core_risks,position_guidance,source_urls,reviewed_at_utc
A_SHARE,A股,600519,600519.SH,贵州茅台 / Kweichow Moutai,A-DCF长期现金流,重点观察池,Level 5-品牌和现金流护城河充分验证,长期值得关注但行业增长降档需降低预期,中国消费品里最强品牌和渠道护城河之一，现金流和利润率极强；但白酒长期需求和年轻消费偏好变化使其更适合作为防守型高质量观察。,估值进一步压缩；批价企稳；渠道库存健康；分红和回购提升；行业悲观预期充分释放。,收入和利润恢复稳定增长；经营现金流强于利润；批价和库存稳定；直销占比改善；股东回报提高。,批价持续下行；渠道库存恶化；高端白酒需求结构性下滑；治理或价格体系失控；估值再次明显透支。,飞天批价；渠道库存；直销收入；营收和净利增速；经营现金流；分红率；合同负债。,白酒消费代际变化；政商务消费约束；渠道库存；估值长期压缩。,重点观察/防守核心候选；当前不应按高成长股估值，只适合在预期收益率足够时配置。,data/interim/a_share_financial_indicators.csv|https://www.moutaichina.com/mtgf/tzzgx/index.html|https://qt.gtimg.cn/q=sh600519,2026-06-13T00:00:00+00:00
A_SHARE,A股,603605,603605.SH,珀莱雅 / Proya,C-GARP消费成长,重点观察池,Level 4-品牌运营和盈利质量已验证但行业竞争强,值得关注，消费复苏中优先级高于中免,国产化妆品龙头具备品牌矩阵、线上运营和产品迭代能力，ROE和现金流质量优于多数消费复苏标的；但美妆行业竞争激烈且新品周期风险高。,收入和利润恢复增长；大单品和新品牌验证；估值低于历史中枢；消费情绪回暖；股价右侧确认。,主品牌增长恢复；彩棠等品牌继续放量；毛利率和费用率稳定；经营现金流健康；库存和渠道未恶化。,品牌老化；新品失败；营销费用率持续抬升但收入不增长；存货和应收恶化；国际或国产竞品抢份额。,分品牌收入；毛利率；销售费用率；经营现金流；库存；线上渠道表现；新品复购。,美妆竞争门槛相对医疗和软件更低；流量成本上升；消费疲弱；品牌生命周期。,重点观察；可作为消费复苏优先候选，但不宜按强护城河核心重仓。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sh603605,2026-06-13T00:00:00+00:00
A_SHARE,A股,000100,000100.SZ,TCL科技 / TCL Technology,F-周期成长/面板双龙头,重点观察池,Level 3-供给格局改善和折旧峰值后利润释放待验证,可关注周期修复，不按核心复利股处理,TCL华星处于面板双龙头格局，折旧高峰约在2025年附近，2026年后若供给纪律和稼动率改善，利润可能释放；但仍是重资产周期成长。,面板价格和稼动率改善；折旧压力下降反映到利润；回购执行；ROE和净利率持续修复；股价突破后回踩不破。,净利率从低位持续恢复；经营现金流强；资本开支纪律改善；OLED/Mini LED/车载等高端产品占比提升；回购推进。,行业重新无序扩产；面板价格下行；折旧释放不转化为利润；资产负债率继续上升；回购停止或资本开支失控。,LCD/OLED价格；稼动率；折旧费用；资本开支；净利率；经营现金流；资产负债率；回购进度。,重资产周期；高负债；价格波动；技术路线和产能扩张风险。,0%-5%周期修复仓；与京东方合计控制面板行业暴露。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sz000100,2026-06-13T00:00:00+00:00
A_SHARE,A股,000725,000725.SZ,京东方A / BOE,F-周期成长/面板双龙头,重点观察池,Level 3-双龙头和玻璃基板期权待验证,可关注周期修复和玻璃基板期权,京东方是全球显示面板龙头之一，供给格局改善、折旧压力下降、回购注销和与康宁探索玻璃基板为其提供周期修复与新技术期权；但当前ROE和利润率仍低。,面板价格持续改善；玻璃基板合作出现订单或收入验证；股东回报计划落地；利润率修复；股价右侧确认。,净利率和ROE连续改善；折旧压力下降；高端显示和车载/IT面板占比提升；经营现金流稳定；回购注销执行。,玻璃基板停留在概念；面板供给再次过剩；利润率无法改善；资本开支重新扩张；回购不及预期。,面板价格；稼动率；折旧费用；玻璃基板合作进展；回购注销；净利率；ROE；经营现金流。,行业仍具周期性；低利润率；重资产；玻璃基板商业化不确定。,0%-5%周期修复仓；与TCL合计控制面板行业暴露，若玻璃基板收入验证可上调。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sz000725,2026-06-13T00:00:00+00:00
A_SHARE,A股,300896,300896.SZ,爱美客 / Imeik,E-落难白马/医美高壁垒,重点观察池,Level 3-壁垒高但短期业绩下滑需验证,值得观察但等待收入和利润止跌,医美注射产品具备注册、品牌、医生渠道和高毛利壁垒，长期商业模式优于普通消费品；但2026Q1收入和利润明显下滑，当前应先观察拐点。,收入和利润停止下滑；新品注册和放量；渠道库存健康；监管风险可控；估值和右侧信号匹配。,核心产品恢复增长；毛利率维持高位；经营现金流跟随利润；新品管线落地；医美终端需求回暖。,核心产品增长长期停滞；监管收紧；竞品冲击价格体系；渠道库存恶化；高毛利无法维持。,分产品收入；毛利率；净利率；经营现金流；新品注册；渠道库存；医美监管政策。,医美消费周期；监管；竞品；短期业绩下滑；估值仍需和增长匹配。,0%-3%观察；业绩未止跌前不进准核心。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sz300896,2026-06-13T00:00:00+00:00
HK,港股,01024,01024.HK,快手 / Kuaishou,C-GARP平台型低估/D-AI应用期权,重点观察池,Level 4-主营盈利已验证且可灵提供AI期权,值得配置观察，优先级高于弱烟蒂和中免,短视频、广告、直播和电商平台已实现规模盈利，估值较低；可灵是快手体系内AI视频生成期权，但当前买入理由仍应建立在主营低估上。,广告和电商增长稳定；利润率不恶化；回购延续；可灵出现收入或付费用户验证；股价放量站回中期均线。,用户时长稳定；电商GMV和广告收入增长；经营利润率提升；可灵商业化数据披露；回购提升每股价值。,抖音竞争导致用户和广告下滑；电商增长失速；监管收紧；可灵商业化失败且AI投入压制利润；估值修复后缺乏增长。,DAU/MAU；用户时长；广告收入；电商GMV；经营利润率；自由现金流；回购；可灵付费和收入指标。,短视频竞争；直播电商监管；广告周期；AI算力投入；可灵变现不确定。,0%-8%重点观察/准核心候选；主营继续稳健时可作为港股互联网低估修复仓。,data/interim/hong_kong_financial_indicators.csv|https://qt.gtimg.cn/q=hk01024|https://kling.ai/app/,2026-06-13T00:00:00+00:00
A_SHARE,A股,601899,601899.SH,紫金矿业 / Zijin Mining,F-关键资源垄断/全球矿业龙头,重点观察池,Level 4-资源禀赋和成本优势已验证,值得长期关注但不把周期高利润当常态低估,全球金铜矿业龙头，资源储量、项目开发能力和成本控制构成真实竞争力；值得关注，但估值必须基于中枢金铜价格而非顶部利润。,金铜价格回落但公司成本优势和产量增长未变；大型项目按期投产；估值按中枢价格仍有安全边际；股价右侧企稳。,铜金产量增长；吨/克成本保持行业低位；经营现金流强；资本开支纪律好；资源储量继续扩张。,商品价格处极端高位且供给扩张；高价并购；成本上升；资源国政治风险扩大；现金流和分红恶化。,铜产量；金产量；单位成本；储量；资本开支；经营现金流；净负债；金铜价格分位。,商品周期；资源国政策；并购整合；资本开支；安全环保事件。,重点观察；资源核心候选，但当前买入需用中枢商品价格做压力测试。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sh601899,2026-06-13T00:00:00+00:00
A_SHARE,A股,000333,000333.SZ,美的集团 / Midea,A-DCF现金流/GARP制造龙头,核心候选池,Level 4-全球规模和现金流已验证,值得配置观察，当前估值相对合理,全球家电和ToB工业技术龙头，品牌、渠道、供应链、制造效率和现金流构成复合型壁垒；虽然家电非高增行业，但股东回报和经营质量优。,估值低于合理收益率要求；收入和利润稳定增长；海外和ToB业务提升；回购分红延续；股价右侧确认。,收入和利润双位数或高个位数增长；毛利率稳定；经营现金流强；机器人/楼宇科技/新能源部件等ToB业务改善；股东回报提升。,白电价格战；海外需求下滑；ToB转型低效；库存恶化；管理层资本配置变差。,收入增速；净利率；经营现金流；分红回购；海外收入；ToB业务收入和利润；库存周转。,家电需求周期；地产相关需求；原材料价格；海外贸易壁垒；转型业务回报不确定。,核心候选；若预期年化收益率达标，可作为稳健复利仓配置。,data/interim/a_share_financial_indicators.csv|https://www.midea.com.cn/en/Investors?wcmmode=disabled|https://qt.gtimg.cn/q=sz000333,2026-06-13T00:00:00+00:00
A_SHARE,A股,688008,688008.SH,澜起科技 / Montage Technology,D-产业链爆发/AI服务器瓶颈环节,重点观察池,Level 4-收入利润高增已验证但估值高,值得关注但当前不按低估处理,内存接口芯片和服务器平台芯片受益AI服务器与DDR5升级，技术壁垒和客户认证周期较高；但股价和估值已反映较多乐观预期。,AI服务器订单继续上修；新产品放量；估值回落或盈利预测继续上修；股价突破后回踩不破。,收入和净利继续高增；毛利率维持高位；研发转化为新品；客户验证扩大；经营现金流跟随利润。,AI服务器需求低于预期；DDR升级节奏放缓；竞争加剧；客户集中风险暴露；估值显著透支。,内存接口芯片收入；服务器平台芯片收入；毛利率；研发费用率；客户验证；AI服务器资本开支；经营现金流。,半导体周期；估值高；客户集中；技术迭代；出口管制和供应链风险。,重点观察/产业链爆发候选；等待估值消化或订单继续超预期，不宜当低估股买。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sh688008,2026-06-13T00:00:00+00:00
A_SHARE,A股,603259,603259.SH,药明康德 / WuXi AppTec,E-落难白马/CRDMO平台,重点观察池,Level 4-平台能力和财务质量已验证但地缘风险高,值得关注，估值低但需接受政策风险折价,全球CRDMO平台型公司，客户覆盖、实验室和生产能力、项目经验构成壁垒；当前估值低更多来自地缘和监管风险，不应只看PE便宜。,海外监管风险边际缓和；订单和在手项目稳定；剔除一次性因素后利润增长健康；估值仍有安全边际。,收入增长稳定；经营现金流强；客户留存和新签订单恢复；毛利率稳定；资本开支回报改善。,美国或其他市场限制升级；大客户迁移；订单下滑；利润含一次性项目不可持续；管理层资本配置恶化。,新增订单；在手订单；海外收入；毛利率；经营现金流；资本开支；监管法案进展；剔除一次性因素利润。,地缘政治；生物安全监管；客户迁移；医药投融资周期；利润一次性因素。,0%-5%反转观察仓；政策风险未缓和前不进核心。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sh603259,2026-06-13T00:00:00+00:00
HK,港股,00700,00700.HK,腾讯控股 / Tencent,A-平台现金流/AI与游戏复利,核心候选池,Level 5-平台网络效应和现金流充分验证,值得长期关注，当前估值偏合理而非极度低估,微信生态、游戏、广告、支付和云构成中国互联网最强平台资产之一，网络效应和现金流壁垒高；AI是产品和广告效率增量，但估值需看增长中枢。,估值回到有吸引力区间；游戏和广告继续恢复；回购持续；AI提升广告和内容效率；股价右侧确认。,游戏流水和递延收入改善；视频号广告增长；经营利润率稳定；自由现金流强；回购持续减少股本。,监管收紧；游戏增长停滞；广告景气下行；AI投入压缩利润；回购减少且估值透支。,游戏收入；广告收入；视频号商业化；金融科技收入；经营利润率；FCF；回购金额；AI产品进展。,互联网监管；游戏审批和生命周期；宏观广告周期；大模型投入回报不确定。,核心候选；可作为港股互联网质量资产长期观察，低估时优先级高。,data/interim/hong_kong_financial_indicators.csv|https://www.tencent.com/en-us/investors/financial-reports.html|https://qt.gtimg.cn/q=hk00700,2026-06-13T00:00:00+00:00
A_SHARE,A股,300750,300750.SZ,宁德时代 / CATL,C-GARP成长/全球电池龙头,核心候选池,Level 5-全球份额技术和现金流已验证,长期值得关注但当前估值需匹配增长,全球动力和储能电池龙头，技术迭代、制造良率、客户关系、供应链和规模优势构成高壁垒；不因短期估值判断影响关注价值。,储能和动力电池需求继续增长；市场份额稳定；价格战缓和；估值回到合理区间；股价右侧确认。,收入和利润继续增长；毛利率稳定；经营现金流强；海外客户拓展；储能业务放量；新技术量产验证。,价格战显著压缩利润；技术路线被替代；海外限制升级；客户自供比例大幅提升；资本开支回报下降。,动力电池装机份额；储能出货；毛利率；经营现金流；研发费用；海外收入；新技术量产。,新能源车周期；价格战；客户议价；海外政策；技术路线变化。,核心候选；当前更适合等待合理估值或景气继续上修后的右侧加仓。,data/interim/a_share_financial_indicators.csv|https://www.catl.com/en/investor/financials/|https://qt.gtimg.cn/q=sz300750,2026-06-13T00:00:00+00:00
A_SHARE,A股,688271,688271.SH,联影医疗 / United Imaging,C-GARP成长/高端医疗设备国产替代,重点观察池,Level 4-高端设备能力已验证但估值较高,值得关注但当前不算便宜,高端影像设备国产替代龙头，CT、MR、PET等产品具备研发、注册、医院验证和售后壁垒；当前增长恢复但PE仍高，需要业绩持续验证。,医疗设备采购恢复；收入和利润连续高增；海外订单放量；估值回到合理区间；股价右侧确认。,分产品收入增长；毛利率稳定；研发管线落地；海外收入提升；经营现金流改善。,医院采购再次放缓；高端产品竞争不及预期；毛利率下滑；研发投入无法转化；估值透支增长。,CT/MR/PET收入；新增订单；海外收入；毛利率；研发费用率；经营现金流；设备招采政策。,医疗控费；招采周期；国际巨头竞争；高估值；研发和售后投入高。,0%-3%重点观察；等待估值消化或增长持续验证。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sh688271,2026-06-13T00:00:00+00:00
A_SHARE,A股,600089,600089.SH,特变电工 / TBEA,F-电网设备/资源周期复合,重点观察池,Level 3-输变电壁垒明确但多晶硅和资源周期拖累,值得关注但按周期复合资产处理,特高压和输变电设备具备工程经验、客户认证和装机基础壁垒，同时受益电网投资；但多晶硅、煤炭和新能源业务带来周期波动。,电网投资和特高压订单明确；多晶硅周期出清；利润结构转向输变电主业；估值有安全边际。,输变电订单增长；毛利率稳定；经营现金流改善；多晶硅亏损收窄或出清；分红和资本开支纪律改善。,多晶硅价格继续下行拖累；电网订单不及预期；资产负债率上升；资本开支失控；资源周期利润回落。,输变电订单；特高压项目；多晶硅价格和产能；煤炭业务利润；经营现金流；资产负债率；分红。,多晶硅周期；煤炭和资源波动；高资本开支；电网投资节奏；业务结构复杂。,0%-3%观察/周期修复仓；不作为纯粹高质量复利核心。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sh600089,2026-06-13T00:00:00+00:00
