review_batch_id,security_code,security_name,annual_report_title,current_report_title,research_report_org,research_report_title,review_status,primary_strategy_tag_final,watchlist_decision_final,quality_tier_final,moat_conclusion,peer_double_check_conclusion,bear_case_summary,base_case_summary,bull_case_summary
batch-036,605117,德业股份,2025年年度报告,2026年第一季度报告,东吴证券股份有限公司,2026年一季报点评：业绩贴近预告上限，毛利率同环比大增,reviewed_authoritative_deep_review,A-DCF/现金流复利型,tactical_candidate,L3-战术候选,德业股份在储能/微逆和除湿机领域有渠道、产品和成本优势，但逆变器行业竞争激烈。,相比阳光电源等平台，德业规模和技术平台较弱；但盈利能力和渠道有差异化，L3。,逆变器价格战和库存周期压缩利润。,储能逆变器需求恢复，毛利率改善。,海外渠道和新品带来持续高增。
batch-036,002532,天山铝业,2025年年度报告,2026年一季度报告,国金证券股份有限公司,稀缺产能释放，全年开局表现亮眼,reviewed_authoritative_deep_review,F-垄断资源型,tactical_candidate,L3-战术候选,天山铝业具备铝土矿、氧化铝、电解铝和电池铝箔布局，一体化和资源保障形成成本优势。,相比中国铝业更大平台，天山铝业更偏民营一体化成本优势，L3。,铝价下行，成本优势收窄。,低成本铝资产释放利润。,稀缺产能和一体化推升周期利润。
batch-036,920779,武汉蓝电,2025年年度报告,2026年一季度报告,开源证券股份有限公司,北交所信息更新：消费电子电池电芯需求恢复，合同负债同比增长62%,reviewed_authoritative_deep_review,C-GARP成长型,zero_position_watch,L4-零仓位观察,武汉蓝电是电池测试设备企业，电芯测试有技术要求但客户和赛道较窄。,相比杭可科技等设备龙头，武汉蓝电规模和客户广度不足，L4。,电池资本开支下滑，订单波动。,消费电子电池测试需求恢复。,高端测试设备进入动力/储能客户。
batch-036,300251,光线传媒,2025年年度报告,2026年一季度报告,群益证券(香港)有限公司,Seedance2.0利好头部动画IP，公司未来项目储备充足,reviewed_authoritative_deep_review,A-DCF/现金流复利型,zero_position_watch,L4-零仓位观察,光线传媒拥有动画IP和影视项目储备，但内容行业 hit-driven，单片成功难转化为稳定复利护城河。,相比腾讯音乐/阅文等IP平台，光线传媒项目波动更强，L4。,项目票房不及预期，内容成本上升。,头部动画IP贡献业绩。,AI工具和动画IP矩阵提升利润率。
batch-036,002192,融捷股份,2025年年度报告,2026年一季度报告,,,reviewed_with_public_research_gap,F-垄断资源型,tactical_candidate,L3-战术候选,融捷股份具备锂资源权益和锂盐加工布局，资源稀缺性使其不同于普通材料加工股。,相比天齐锂业/赣锋锂业/中矿资源，融捷股份资源和平台较弱，但资源稀缺仍值得L3观察。,锂价低迷、产能兑现慢。,锂资源产销稳定，周期中枢修复。,锂价回升叠加资源扩产带来利润弹性。
batch-036,600745,*ST闻泰,2025年年度报告,2026年第一季度报告,CMB International Capital Corporation Limited,Resilient 1Q semiconductor sales; nonprofitable ODM business to be deconsolidated,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,zero_position_watch,L4-零仓位观察,闻泰科技拥有半导体分立器件资产和ODM剥离改善逻辑，但ST和重大重组/治理不确定性显著。,相比华润微/士兰微等更清晰半导体平台，闻泰当前风险透明度不足，L4。,ST/治理风险扩大，半导体资产受限。,ODM出表后半导体利润韧性提升。,半导体业务重估且治理风险解除。
batch-036,601669,中国电建,中国电力建设股份有限公司2025年年度报告,中国电力建设股份有限公司2026年第一季度报告,开源证券股份有限公司,公司信息更新报告：收入增长现金流向好，海外业务强势扩张,reviewed_authoritative_deep_review,C-GARP成长型,zero_position_watch,L4-零仓位观察,中国电建是水电和新能源工程龙头，海外业务强，但建筑EPC低利润、资本占用和回款压力明显。,相比中国神华/长江电力等资源资产型公司，中国电建资产回报弱，L4。,工程回款慢，利润率低。,海外业务扩张，现金流改善。,大型水电和新能源工程高景气。
batch-036,601727,上海电气,上海电气2025年年度报告,上海电气2026年一季度报告,东吴证券股份有限公司,中国综合能源装备制造龙头，燃机&新能源构筑第二增长曲线,reviewed_authoritative_deep_review,G-股东回报型低估/稳健资产,zero_position_watch,L4-零仓位观察,上海电气是综合能源装备集团，燃机和新能源有看点，但业务复杂、历史风险和利润率一般。,相比东方电气/哈尔滨电气和专精设备龙头，上海电气平台质量不够清晰，L4。,业务复杂拖累回报，减值风险。,能源装备订单稳健。,燃机和新能源装备形成第二增长曲线。
batch-036,601766,中国中车,中国中车2025年年度报告,中国中车2026年第一季度报告,东吴证券股份有限公司,2026一季报点评：26Q1业绩增长可观，铁路装备与新产业双轮驱动,reviewed_authoritative_deep_review,G-股东回报型低估/稳健资产,quasi_core_candidate,L2-准核心候选,中国中车是全球轨交装备龙头，国内轨交整车近似垄断、全产业链和海外项目形成强壁垒。,相比普通装备制造，中国中车垄断经营和系统集成壁垒明显，L2；ROE弹性限制其非L1。,铁路投资放缓，新产业低回报。,铁路装备更新和新产业双轮驱动。,海外和高端装备重估，盈利质量改善。
batch-036,002812,恩捷股份,2025年年度报告,2026年一季度报告,爱建证券有限责任公司,首次覆盖：隔膜需求景气，价格回升改善盈利,reviewed_authoritative_deep_review,F-垄断资源型,tactical_candidate,L3-战术候选,恩捷股份是锂电隔膜全球龙头之一，规模、工艺、客户和成本有壁垒，但行业供给扩张削弱超额利润。,相比宁德/比亚迪等电池平台，恩捷是材料周期环节；龙头地位保留L3。,隔膜供给过剩，价格继续下行。,需求景气和价格回升改善盈利。,高端隔膜和海外客户带动利润修复。
